Ref,Text Before,Named Entity,Text After,Label,Status
"Madison's Notes on the Constitutional Convention, September 07 1",Friday Sepr. 7. 1787. In ,Convention," The mode of constituting the Executive being resumed, Mr- Randolph moved (to insert in the first Section of the report made yesterday)",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 9 The House of Representatives 634","The scheme, therefore, under all the circumstances, of making numbers the basis of the representation of the Union, seems to have obtained more general favor, than any other in the convention, because it had a natural and universal connection with the rights and liberties of the whole people. The ","Federalist, No. 54",.,Citation,tp
"Madison's Notes on the Constitutional Convention, September 08 65",* (In the printed ,Journal S. Carolina, - no.),Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1594","The next consideration is the tenure, by which the judges hold their offices. It is declared that “the judges, both of the Supreme and In-ferior Courts shall hold their offices during good behavior.” For the interpretation of the meaning of the words good behaviour, see the judgment of ","Lord Holt, in Harcourt v. Fox",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1594",; ,"1 Shower’s R. 426, 506, 536",. ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1594",. ,S. C. Shower’s Cases in Parl. 158,". Upon this subject, the ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1594",". Upon this subject, the ",Federalist," has spoken with so much clearness and force, that little can be added to its reasoning. “The standard of good behavior, for the continuance in office of the judicial magistracy, is certainly one of the most valuable of the modern improvements in the practice of government. In a monarchy, it is an excellent barrier to the despotism of the prince: in a republic, it is a no less excellent barrier to the encroachments and oppressions of the representative body. And it is the best expedient, which can be devised in any government, to secure a steady, upright, and impartial administration of the laws. Whoever attentively considers the different departments of power, must perceive, that in a government, in which they are separated from each other, the judiciary, from the nature of its functions, will always be the least dangerous to the political rights of the constitution; because it will be least in a capacity to annoy, or injure them. The executive not only dispenses the honors, but holds the sword of the community. The legislature, not only commands the purse, but prescribes the rules, by which the duties and rights of every citizen are to be regulated. The judiciary, on the contrary, has no influence over either the sword, or the purse; no direction either of the strength, or of the wealth of the society; and can take no active resolution whatever. It may truly be said to have neither force, nor will, but merely judgment; and must ulti- mately depend upon the aid of the executive arm, for the efficacious exercise even of this faculty.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter II Of The General Principles Of Law And Obligation 54","This position, strange as it is, has had its advocates in ancient as well as in modern times. Even the accomplished Athenians, who excluded it from their municipal code, seem to have considered it as part of the received law of nations. “We follow,” says their ambassadour in the name of his commonwealth, “the common nature and genius of mankind, which appoints those to be masters, who are superiour in strength. We have not made this law; nor are we the first, who have appealed to it. We received it from antiquity: we are determined to transmit it to the most distant futurity: and we claim and use it in our own case.” ",l. Puff. 65,. (,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter II Of The General Principles Of Law And Obligation 54",. (,Thucyd. l. 5. c. 105,) ,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter II Of The General Principles Of Law And Obligation 54",) ,1. Anac. 351,.,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 3, Chapter X Of The Different Steps Prescribed By The Law, For Apprehending, Detaining, Trying, And Punishing Offenders 3","A warrant is a precept from a judicial to a ministerial officer of justice, commanding him to bring the person mentioned in it, before him who issues it, or before some other officer having judicial authority in the cause. ",a. Wood. Ins. 81. 1.Bl. Com. 137,. ,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 3, Chapter X Of The Different Steps Prescribed By The Law, For Apprehending, Detaining, Trying, And Punishing Offenders 3",. ,4. Bl. Com. 287,". This warrant should be under the hand and seal of the magistrate issuing it: it should mention the time and place of making it, and the cause for which it is granted. It may be either to bring the party generally before any magistrate, or specially to bring him before the magistrate only who grants it. It may be directed to the sheriff, constable, or to a private person; for the warrant constitutes him, for this purpose, an authorized officer. ",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 3, Chapter X Of The Different Steps Prescribed By The Law, For Apprehending, Detaining, Trying, And Punishing Offenders 3",". This warrant should be under the hand and seal of the magistrate issuing it: it should mention the time and place of making it, and the cause for which it is granted. It may be either to bring the party generally before any magistrate, or specially to bring him before the magistrate only who grants it. It may be directed to the sheriff, constable, or to a private person; for the warrant constitutes him, for this purpose, an authorized officer. ",b. 2. Haw. 85,.,Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Summary Of The Federal Constitution 18","The principle of the independence of the States prevailed in the formation of the Senate, and that of the sovereignty of the nation predominated in the composition of the House of Representatives. It was decided that each State should send two senators to Congress, and a number of representatives proportioned to its population. [ Every ten years Congress fixes anew the number of representatives which each State is to furnish. The total number was 69 in 1789, and 240 in 1833. (See “","American Almanac,” 1834, p. 194",".) The Constitution decided that there should not be more than one representative for every 30,000 persons; but no minimum was fixed on. The Congress has not thought fit to augment the number of representatives in proportion to the increase of population. The first Act which was passed on the subject (April 14, 1792: see “",Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Summary Of The Federal Constitution 18",".) The Constitution decided that there should not be more than one representative for every 30,000 persons; but no minimum was fixed on. The Congress has not thought fit to augment the number of representatives in proportion to the increase of population. The first Act which was passed on the subject (April 14, 1792: see “","Laws of the United States,” by Story, vol. i. p. 235",") decided that there should be one representative for every 33,000 inhabitants. The last Act, which was passed in 1832, fixes the proportion at one for 48,000. The population represented is composed of all the free men and of ",Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Summary Of The Federal Constitution 18",") decided that there should be one representative for every 33,000 inhabitants. The last Act, which was passed in 1832, fixes the proportion at one for 48,000. The population represented is composed of all the free men and of ",three-fifths of the slaves,". It results from this arrangement that the State of New York has at the present day forty representatives and only two senators; the State of Delaware has two senators and only one representative; the State of Delaware is therefore equal to the State of New York in the Senate, whilst the latter has forty times the influence of the former in the House of Representatives. Thus, if the minority of the nation preponderates in the Senate,. it may paralyze the decisions of the majority represented in the other House, which is contrary to the spirit of constitutional government.",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Two, Part V (Of the Law Concerning Personal Property), Lecture 38 (Of Title to Personal Property by Gift) 6","Delivery in this, as in every other case, must be according to the nature of the thing. It must be an actual delivery so far as the subject is capable of delivery. It must be secundum subjectam materiam, and be the true and effectual way of obtaining the command and dominion of the subject. If the thing be not capable of actual delivery, there must be some act equivalent to it. The donor must part, not only with the possession, but with the dominion of the property. ","10. Hawkins v. Blewitt, 2 Esp. Rep. 663",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Two, Part V (Of the Law Concerning Personal Property), Lecture 38 (Of Title to Personal Property by Gift) 6",. ,"Noble v. Smith, 2 Johns.Rep. 52",". If the thing given be a chose in action, the law requires an assignment, or some equivalent instrument, and the transfer must be actually executed. Therefore, where a donor expressed by letter his intention of relinquishing his share of an estate, and directed the preparation of a release of the personal estate, and he died before it was executed, it was held, that his intention, not being perfected, did not amount to a gift. ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Two, Part V (Of the Law Concerning Personal Property), Lecture 38 (Of Title to Personal Property by Gift) 6",". If the thing given be a chose in action, the law requires an assignment, or some equivalent instrument, and the transfer must be actually executed. Therefore, where a donor expressed by letter his intention of relinquishing his share of an estate, and directed the preparation of a release of the personal estate, and he died before it was executed, it was held, that his intention, not being perfected, did not amount to a gift. ","11. Hooper v. Goodwin, 1 Swanston, 486",.,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter XII Of The Common Law 107","By the common law, every man may go out of the realm to carry on trade, or on any other occasion, which he thinks a proper one, without the leave of the king; and for so doing no man shall be punished. ",g. F.N.B. 85. Jenk. 88,.,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter VII The Subject Continued Of Sheriffs And Coroners 22","In the time of the Saxons, as we are informed by Mr. Selden, he was one of the two chief governours of the county. He was made by election of the freeholders in their county court, as the sheriff was, and from among the men of the chiefest rank in the county. ",v. Bac. on Gov. 41,.,Citation,tp
"Madison's Notes on the Constitutional Convention, August 09 41",Mr. (Madison) was not averse to some restrictions on this subject; but could never agree to the proposed amendment. He thought any restriction (however) in the ,Constitution," unnecessary, and improper. unnecessary; because the Natl. Legislre. is to have the right of regulating naturalization, and can by virtue thereof fix different periods of residence as conditions of enjoying different privileges of Citizenship: Improper: because it will give a tincture of illiberality to the ",Citation,tp
"Madison's Notes on the Constitutional Convention, August 09 41"," unnecessary, and improper. unnecessary; because the Natl. Legislre. is to have the right of regulating naturalization, and can by virtue thereof fix different periods of residence as conditions of enjoying different privileges of Citizenship: Improper: because it will give a tincture of illiberality to the ",Constitution,: because it will put it out of the power of the Natl Legislature even by special acts of naturalization to confer the full rank of Citizens on meritorious strangers &amp; because it will discourage the most desirable class of people from emigrating to the U. S. Should the proposed ,Citation,tp
"Madison's Notes on the Constitutional Convention, August 09 41",: because it will put it out of the power of the Natl Legislature even by special acts of naturalization to confer the full rank of Citizens on meritorious strangers &amp; because it will discourage the most desirable class of people from emigrating to the U. S. Should the proposed ,Constitution," have the intended effect of giving stability &amp; reputation to our Govts. great numbers of respectable Europeans; men who love liberty and wish to partake its blessings, will be ready to transfer their fortunes hither. All such would feel the mortification of being marked with suspicious incapacitations though they sd. not covet the public honors He was not apprehensive that any dangerous number of strangers would be appointed by the State Legislatures, if they were left at liberty to do so: nor that foreign powers would make use of strangers as instruments for their purposes. Their bribes would be expended on men whose circumstances would rather stifle than excite jealousy &amp; watchfulness in the public.",Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix P 1","The first American journal appeared in April, 1704, and was published at Boston. See ""","Collection of the Historical Society of Massachusetts,"" vol. vi. p. 66",. It would be a mistake to suppose that the periodical press has always been entirely free in the American colonies: an attempt was made to establish something analogous to a censorship and preliminary security. Consult the ,Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix P 1",. It would be a mistake to suppose that the periodical press has always been entirely free in the American colonies: an attempt was made to establish something analogous to a censorship and preliminary security. Consult the ,"Legislative Documents of Massachusetts of January 14, 1722",". The Committee appointed by the General Assembly (the legislative body of the province) for the purpose of examining into circumstances connected with a paper entitled """,Citation,tp
"Tocqueville, Democracy in America (1835), Appendix to Part II, Appendix P 1",". The Committee appointed by the General Assembly (the legislative body of the province) for the purpose of examining into circumstances connected with a paper entitled """,The New England Courier,","" expresses its opinion that ""the tendency of the said journal is to turn religion into derision and bring it into contempt; that it mentions the sacred writers in a profane and irreligious manner; that it puts malicious interpretations upon the conduct of the ministers of the Gospel; and that the Government of his Majesty is insulted, and the peace and tranquillity of the province disturbed by the said journal. The Committee is consequently of opinion that the printer and publisher, James Franklin, should be forbidden to print and publish the said journal or any other work in future, without having previously submitted it to the Secretary of the province; and that the justices of the peace for the county of Suffolk should be commissioned to require bail of the said James Franklin for his good conduct during the ensuing year."" The suggestion of the Committee was adopted and passed into a law, but the effect of it was null, for the journal eluded the prohibition by putting the name of Benjamin Franklin instead of James Franklin at the bottom of its columns, and this manoeuvre was supported by public opinion.",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part V (Of the Law Concerning Personal Property, CON'T), Lecture 48 (Of the Law of Insurance) 9",A distinction was afterwards taken in ,"Bell v. Gilson, 6. 1 Bos. &amp; Pull. 345",". where it was held, that the insurance of goods purchased in an enemy’s country during war, by a British agent, and shipped for British subjects, was a lawful insurance. But every distinction of that kind was subsequently abandoned; and in the case of insurances on French property previous to war, they were held not to cover a loss by British capture after the war was renewed, even though the action was not brought until after the restoration of peace. It was declared, that an assurance of enemy’s property, as well as all commercial intercourse with the enemy, was, at common law, unlawful, and that an insurance, though effected before the war, made no difference, as a foreigner might ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part V (Of the Law Concerning Personal Property, CON'T), Lecture 48 (Of the Law of Insurance) 9",". where it was held, that the insurance of goods purchased in an enemy’s country during war, by a British agent, and shipped for British subjects, was a lawful insurance. But every distinction of that kind was subsequently abandoned; and in the case of insurances on French property previous to war, they were held not to cover a loss by British capture after the war was renewed, even though the action was not brought until after the restoration of peace. It was declared, that an assurance of enemy’s property, as well as all commercial intercourse with the enemy, was, at common law, unlawful, and that an insurance, though effected before the war, made no difference, as a foreigner might ","7. Furtado v. Rodgers, 3 Bos. &amp; Pull. 191",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part V (Of the Law Concerning Personal Property, CON'T), Lecture 48 (Of the Law of Insurance) 9",. ,"Gamba v. La Mesurier, 4 East’s Rep. 407",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part V (Of the Law Concerning Personal Property, CON'T), Lecture 48 (Of the Law of Insurance) 9",. ,"Brandon v. Curling, ibid. 410",". otherwise insure previous to the war, against all evils incident to the war. Insurances of enemy’s property had been indulged, but never were legal. The judicial language at last was, ",Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part V (Of the Law Concerning Personal Property, CON'T), Lecture 48 (Of the Law of Insurance) 9",". otherwise insure previous to the war, against all evils incident to the war. Insurances of enemy’s property had been indulged, but never were legal. The judicial language at last was, ","8. Lord Ellenborough, Kellner v. La Mesurier, 4 East’s Rep. 396",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume Three, Part V (Of the Law Concerning Personal Property, CON'T), Lecture 48 (Of the Law of Insurance) 9",. ,"Lord Erskine, Ex parte Lee, 13 Vesey’s Rep. 64",". that such insurances were not only illegal and void, but repugnant to every principle of public policy. The former opinion in favor of the expediency of such insurances, had never yet produced one single judicial determination in favor of their legality.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter XII Of The Common Law 74","Concerning the period, at which the feudal system was introduced into England, there has been long and learned controversy among lawyers and antiquarians. “At the close of the first century,” says Whitaker in his ",History of Manchester,", “our tenures in Britain appear undeniably to have been purely military in their design, and absolutely feudal in their essence. The primary institution of feuds is unanimously deduced, by our historical and legal antiquarians, from the northern invaders of the Roman empire; and the primary introduction of them into this island is almost as unanimously referred to the much more recent epocha of the Norman conquest. But they certainly existed among us before, and even formed the primitive establishment of the Britons.” “They must have existed coeval with the first plantation of the island. They were plainly the joint result of a colonizing and a military spirit. The former providentially animated the first ages of the Noachidae was constantly prosecuted under the discipline of regular order, and the control of regal authority, and had whole regions to partition among the members of the colony. The latter was excited by the frequent migrations of colonists and the numerous invasions of settlements in the same ages, and naturally provided for the security of the colony, by the institution of a military establishment.” ",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter XII Of The Common Law 74",", “our tenures in Britain appear undeniably to have been purely military in their design, and absolutely feudal in their essence. The primary institution of feuds is unanimously deduced, by our historical and legal antiquarians, from the northern invaders of the Roman empire; and the primary introduction of them into this island is almost as unanimously referred to the much more recent epocha of the Norman conquest. But they certainly existed among us before, and even formed the primitive establishment of the Britons.” “They must have existed coeval with the first plantation of the island. They were plainly the joint result of a colonizing and a military spirit. The former providentially animated the first ages of the Noachidae was constantly prosecuted under the discipline of regular order, and the control of regal authority, and had whole regions to partition among the members of the colony. The latter was excited by the frequent migrations of colonists and the numerous invasions of settlements in the same ages, and naturally provided for the security of the colony, by the institution of a military establishment.” ",p. 1. Whitak. 262. 264,.,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1593",The ,mode of appointment of the judges," has necessarily come under review, in the examination of the structure and powers of the executive department. The president is expressly authorized, by and with the consent of the senate, to appoint the judges of the Supreme Court. The appointment of the judges of the inferior courts, is not expressly provided for; but has either been left to the discretion of congress, or silently belongs to the president, under the clause of the constitution authorizing him to appoint “all other officers of the United States, whose appointments are not herein otherwise provided for.” Whether the Judges of the inferior. courts of the United Slates are such inferior officers, as the constitution contemplates to be within the power of congress, to prescribe the mode of appointment of so as to vest it in the president alone, or in the courts of law, or in the heads of departments, is a point, upon which no solemn judgment has ever been had. The practical construction has uniformly been, that they are not such inferior officers. And no act of congress prescribes the mode of their appointment. See the ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1593"," has necessarily come under review, in the examination of the structure and powers of the executive department. The president is expressly authorized, by and with the consent of the senate, to appoint the judges of the Supreme Court. The appointment of the judges of the inferior courts, is not expressly provided for; but has either been left to the discretion of congress, or silently belongs to the president, under the clause of the constitution authorizing him to appoint “all other officers of the United States, whose appointments are not herein otherwise provided for.” Whether the Judges of the inferior. courts of the United Slates are such inferior officers, as the constitution contemplates to be within the power of congress, to prescribe the mode of appointment of so as to vest it in the president alone, or in the courts of law, or in the heads of departments, is a point, upon which no solemn judgment has ever been had. The practical construction has uniformly been, that they are not such inferior officers. And no act of congress prescribes the mode of their appointment. See the ","American Jurist for October, 1830, vol. 4, art. V.p. 298",". In the convention, a proposition at first. prevailed, for the appointment of the judges of the Supreme Court by the senate, by a decided majority. ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1593",". In the convention, a proposition at first. prevailed, for the appointment of the judges of the Supreme Court by the senate, by a decided majority. ","Journal of Convention, 19, 98, 121, 137, 186, 187, 195, 196, 211, 212",". At a later period, however, upon the report of a committee, the appointment of the judges of the Supreme Court, was given to the president, subject to the advice and consent of the senate, by a unanimous vote. ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1593",". At a later period, however, upon the report of a committee, the appointment of the judges of the Supreme Court, was given to the president, subject to the advice and consent of the senate, by a unanimous vote. ","Id. 325, 326, 340",". The reasons for the change, were doubtless the same as those, which led to the vesting of other high appointments in the executive department. The ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1593",". The reasons for the change, were doubtless the same as those, which led to the vesting of other high appointments in the executive department. The ","Federalist, No. 78",". — Mr. Chancellor Kent has summed up the reasoning, in favour of an appointment of he judges by the executive, with his usual strength.",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1579",The reasoning of the ,Federalist, The ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1579", The ,"Federalist, No. 81",". on this point is so clear and satisfactory, and presents the whole argument in so condensed a form, that it supersedes all farther formal discussion. “From a body, which had even a partial agency in passing bad laws, we could rarely expect a disposition to temper and moderate them in the application. The same spirit, which had operated in making them, would be too apt to influence their construction; still less could it be expected, that men, who had infringed the ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 38 The Judiciary (Importance and Powers of in Three Parts, Part I, Part II, Part III) 1579",". on this point is so clear and satisfactory, and presents the whole argument in so condensed a form, that it supersedes all farther formal discussion. “From a body, which had even a partial agency in passing bad laws, we could rarely expect a disposition to temper and moderate them in the application. The same spirit, which had operated in making them, would be too apt to influence their construction; still less could it be expected, that men, who had infringed the ",constitution,", in the character of legislators, would be disposed to repair the breach in that of judges. Nor is this all. Every reason, which recommends the tenure of good behavior for judicial offices, militates against placing the judiciary power, in the last resort, in a body composed of men chosen for a limited period. There is an absurdity in referring the determination of causes, in the first instance, to judges of permanent standing; in the last, to those of a temporary and mutable constitution. And there is a still greater absurdity in subjecting the decisions of men selected for the knowledge of the laws, acquired by long and laborious study, to the revision and control of men, who, for want of the same advantage, cannot but be deficient in that knowledge. The members of the legislature will rarely be chosen with a view to those qualifications, which fit men for the stations of judges; and as, on this account, there will be great reason to apprehend all the ill consequences of defective information; so, on account of the natural propensity of such bodies to party divisions, there will be no less reason to fear, that the pestilential breath of faction may poison the fountains of justice. The habit of being continually marshalled on opposite sides, will be too apt to stifle the voice both of law and equity.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter XI Of Citizens And Aliens 41","The general policy of the Egyptians was unfriendly to strangers. It is even said of them, that they were accustomed to kill, or reduce to slavery, all those whom they found upon their coasts; except at one city only, at which they were allowed to land and trade. But ","Psammeticus, 4",". Likely refers to Psammeticus II, an Egyptian pharaoh (c. 594–588 bc) famous for his invasion of Kush. one of their princes, observed maxims of a more humane and enlightened nature. He favoured navigation in his seas; he opened his ports to the commerce of all nations; and he granted every kind of encouragement to every one, who would settle in Egypt. ",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter XI Of Citizens And Aliens 41",". Likely refers to Psammeticus II, an Egyptian pharaoh (c. 594–588 bc) famous for his invasion of Kush. one of their princes, observed maxims of a more humane and enlightened nature. He favoured navigation in his seas; he opened his ports to the commerce of all nations; and he granted every kind of encouragement to every one, who would settle in Egypt. ","Amasis, 5",". Amasis II (570–526 bc) was a pharaoh of the twenty-sixth dynasty and last great pharaoh before the Persian conquest. one of his successours, governed, by the same principles, his behaviour towards foreigners. He conferred many benefits upon the Grecians; and even allowed them to erect altars and temples. Under the government of Amasis, it is observed, Egypt was perfectly happy. ",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter XI Of Citizens And Aliens 41",". Amasis II (570–526 bc) was a pharaoh of the twenty-sixth dynasty and last great pharaoh before the Persian conquest. one of his successours, governed, by the same principles, his behaviour towards foreigners. He conferred many benefits upon the Grecians; and even allowed them to erect altars and temples. Under the government of Amasis, it is observed, Egypt was perfectly happy. ",k. 3. Gog Or. Laws. 15. 16,.,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 4 (Of the Various Kinds of Property Liable to Capture) 2","IT becomes important, in a maritime war, to determine with precision what relations and circumstances will impress a hostile character upon persons and property; and the modern international law of the commercial world is replete with refined and complicated distinctions on this subject. It is settled, that there may be a hostile character merely as to commercial purposes, and hostility may attach only to the person as a temporary enemy, or it may attach only to property of a particular description. This hostile character, in a commercial view, or one limited to certain intents and purposes only, will attach in consequence of having possessions in the territory of the enemy, or by maintaining a commercial establishment there, or by a personal residence, or by particular modes of traffic, as by sailing under the enemy’s flag or passport. This hostile relation, growing out of particular circumstances, assumes, as valid, the distinction which has been taken between a permanent and a, temporary alien enemy. A man is said to be permanently an alien enemy, when he owes a permanent allegiance to the adverse belligerent, and his hostility is commensurate in point of time with his country’s quarrel. But he who does not owe a permanent allegiance to the enemy, is an enemy only during the existence and continuance of certain circumstances. A neutral, for instance, said ","Ch. J. Eyre, 1",. ,Citation,tp
"Kent, Commentaries on American Law (1826 Though 1830), Volume One, Part I (Of the Law of Nations), Lecture 4 (Of the Various Kinds of Property Liable to Capture) 2",. ,"Sparenburgh v. Bannatyne, 1 Bos. &amp; Pull. 163",". can be an alien enemy only with respect to his acts done under a local or temporary allegiance to a power at war, and when his temporary allegiance determines, his hostile character determines also.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter XII Of The Common Law 12",,Pliny 3,". Likely refers to Pliny the Elder (23–79), a Roman author, scientist, and historian who died in the eruption of Mount Vesuvius. conjectures that the name of Druid was derived from the Greek word δρνς, quercus, an oak, because they performed their solemn ceremonies in the deep recesses of groves formed by oaks; and because, in their sacrifices, they used the leaves of those trees. ",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter XII Of The Common Law 12",". Likely refers to Pliny the Elder (23–79), a Roman author, scientist, and historian who died in the eruption of Mount Vesuvius. conjectures that the name of Druid was derived from the Greek word δρνς, quercus, an oak, because they performed their solemn ceremonies in the deep recesses of groves formed by oaks; and because, in their sacrifices, they used the leaves of those trees. ",g. 3. Rep. Pref. 9," b. The missletoe, it is well known, was of sacred import in their religious mysteries.",Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 2, Chapter I Of The Constitutions Of The United States And Of Pennsylvania (Of The Legislative Department) 75","The senators are chosen by the legislatures of the several states. Every senator must have attained to the age of thirty years; he must have been nine years a citizen of the United States; and he must, when elected, be an inhabitant of that state, for which he shall be chosen. ",p. Cons. U.S. art. 1. s. 3,.,Citation,tp
"Wilson, Lectures on Law (1789 to 1791), Part 1, Chapter XIII Of The Nature And Philosophy Of Evidence 118","By our senses, we have certain sensations and perceptions. But to furnish us with these, is not the only, nor is it, indeed, the principal office of our senses. They are powers, by which we judge, as well as feel and perceive. A man, who has become blind, may, nevertheless, retain very distinct conceptions of the several colours; but he cannot, any longer, judge concerning colours; because he has lost the sense, the immediate operation of which is necessary in order to enable him to form such judgment. By our ears, we have the ideas of sounds of different kinds, such as acute and grave, soft and loud. But this sense enables us not only to hear, but to judge of what we hear. We perceive one sound to be loud, another to be soft. When we hear more sounds than one, we perceive and judge that some are concords, and that others are discords. These are judgments of the senses. ","z. Reid Ess. Act. 237, 239",.,Citation,tp
"Tocqueville, Democracy in America (1835), Book I, Chapter XVIII Future Condition Of Three Races (Part IV) 28","In the State of Maine there is one negro in 300 inhabitants; in Massachusetts, one in 100; in New York, two in 100; in Pennsylvania, three in the same number; in Maryland, thirty-four; in Virginia, forty-two; and lastly, in South Carolina [ We find it asserted in an American work, entitled “",Letters on the Colonization Society,",” by Mr. Carey, 1833, “That for the last forty years the black race has increased more rapidly than the white race in the State of South Carolina; and that if we take the average population of the five States of the South into which slaves were first introduced, viz., Maryland, Virginia, South Carolina, North Carolina, and Georgia, we shall find that from 1790 to 1830 the whites have augmented in the proportion of 80 to 100, and the blacks in that of 112 to 100.” fifty-five per cent. Such was the proportion of the black population to the whites in the year 1830. But this proportion is perpetually changing, as it constantly decreases in the North and augments in the South.",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299","It is well known, that the laws and acts of foreign nations are not judicially taken notice of in any other nation; and that they must be proved, like any other facts, whenever they come into operation or examination in any forensic controversy. The nature and mode of the proof depend upon the municipal law of the country, where the suit is depending; and there are known to be great diversities in the practice of different nations on this subject. Even in England and America the subject, notwithstanding the numerous judicial decisions, which have from time to time been made, is not without its difficulties and embarrassments. See ","Starkie on Evid. P. 9. § 92, p. 251",", and ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",", and ","note to American ed. P. 4, p. 569",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,"Appleton v. Braybrook, 6 M. &amp",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,Selw. 34,",; ",Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",",; ","Livingston v. Maryland Insurance Company, 6 Cranch, 274",; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,S.C. 2. Peters’s Cond. R. 370,; ,Citation,tp
"Story, Commentaries on the Constitution of the United States, 1833, Book III, Chapter 29 Power of Congress as to Proof of State Records and Proceedings 1299",; ,"Talbot v. Seeman, 1 Cranch, 1, 38",; ,Citation,tp
